Tamano;TipoDistribucion;Algoritmo;Version;PromedioOperaciones
1000;uniforme;BusquedaBinaria1;Recursiva;85.3
1000;uniforme;BusquedaBinaria1;Iterativa;87.3
1000;uniforme;BusquedaBinaria2;Recursiva;138.28
1000;uniforme;BusquedaBinaria2;Iterativa;104.8
1000;uniforme;BusquedaInterpolacion;Recursiva;23
1000;uniforme;BusquedaInterpolacion;Iterativa;19
1000;exponencial;BusquedaBinaria1;Recursiva;39.1
1000;exponencial;BusquedaBinaria1;Iterativa;41.1
1000;exponencial;BusquedaBinaria2;Recursiva;144.36
1000;exponencial;BusquedaBinaria2;Iterativa;101.29
1000;exponencial;BusquedaInterpolacion;Recursiva;6914.48
1000;exponencial;BusquedaInterpolacion;Iterativa;5320.72
1000;normal;BusquedaBinaria1;Recursiva;87.3
1000;normal;BusquedaBinaria1;Iterativa;89.3
1000;normal;BusquedaBinaria2;Recursiva;143.24
1000;normal;BusquedaBinaria2;Iterativa;104.44
1000;normal;BusquedaInterpolacion;Recursiva;255.7
1000;normal;BusquedaInterpolacion;Iterativa;198
10000;uniforme;BusquedaBinaria1;Recursiva;123.4
10000;uniforme;BusquedaBinaria1;Iterativa;125.4
10000;uniforme;BusquedaBinaria2;Recursiva;199.24
10000;uniforme;BusquedaBinaria2;Iterativa;139.1
10000;uniforme;BusquedaInterpolacion;Recursiva;23
10000;uniforme;BusquedaInterpolacion;Iterativa;19
10000;exponencial;BusquedaBinaria1;Recursiva;36.3
10000;exponencial;BusquedaBinaria1;Iterativa;38.3
10000;exponencial;BusquedaBinaria2;Recursiva;193.96
10000;exponencial;BusquedaBinaria2;Iterativa;134.89
10000;exponencial;BusquedaInterpolacion;Recursiva;44923.7
10000;exponencial;BusquedaInterpolacion;Iterativa;34558.8
10000;normal;BusquedaBinaria1;Recursiva;110.1
10000;normal;BusquedaBinaria1;Iterativa;112.1
10000;normal;BusquedaBinaria2;Recursiva;193
10000;normal;BusquedaBinaria2;Iterativa;138
10000;normal;BusquedaInterpolacion;Recursiva;371.92
10000;normal;BusquedaInterpolacion;Iterativa;287.4
100000;uniforme;BusquedaBinaria1;Recursiva;153.9
100000;uniforme;BusquedaBinaria1;Iterativa;155.9
100000;uniforme;BusquedaBinaria2;Recursiva;248.04
100000;uniforme;BusquedaBinaria2;Iterativa;172.1
100000;uniforme;BusquedaInterpolacion;Recursiva;53.82
100000;uniforme;BusquedaInterpolacion;Iterativa;43.22
100000;exponencial;BusquedaBinaria1;Recursiva;40.1
100000;exponencial;BusquedaBinaria1;Iterativa;42.1
100000;exponencial;BusquedaBinaria2;Recursiva;239.4
100000;exponencial;BusquedaBinaria2;Iterativa;164.56
100000;exponencial;BusquedaInterpolacion;Recursiva;365829
100000;exponencial;BusquedaInterpolacion;Iterativa;281409
100000;normal;BusquedaBinaria1;Recursiva;120.4
100000;normal;BusquedaBinaria1;Iterativa;122.4
100000;normal;BusquedaBinaria2;Recursiva;247.08
100000;normal;BusquedaBinaria2;Iterativa;170.66
100000;normal;BusquedaInterpolacion;Recursiva;278.58
100000;normal;BusquedaInterpolacion;Iterativa;215.6
1000000;uniforme;BusquedaBinaria1;Recursiva;186.4
1000000;uniforme;BusquedaBinaria1;Iterativa;188.4
1000000;uniforme;BusquedaBinaria2;Recursiva;300.04
1000000;uniforme;BusquedaBinaria2;Iterativa;204.9
1000000;uniforme;BusquedaInterpolacion;Recursiva;149.84
1000000;uniforme;BusquedaInterpolacion;Iterativa;118.66
1000000;exponencial;BusquedaBinaria1;Recursiva;47
1000000;exponencial;BusquedaBinaria1;Iterativa;49
1000000;exponencial;BusquedaBinaria2;Recursiva;301
1000000;exponencial;BusquedaBinaria2;Iterativa;181
1000000;exponencial;BusquedaInterpolacion;Recursiva;23
1000000;exponencial;BusquedaInterpolacion;Iterativa;19
1000000;normal;BusquedaBinaria1;Recursiva;132.4
1000000;normal;BusquedaBinaria1;Iterativa;134.4
1000000;normal;BusquedaBinaria2;Recursiva;300.04
1000000;normal;BusquedaBinaria2;Iterativa;199.38
1000000;normal;BusquedaInterpolacion;Recursiva;134.8
1000000;normal;BusquedaInterpolacion;Iterativa;105
10000000;uniforme;BusquedaBinaria1;Recursiva;222.3
10000000;uniforme;BusquedaBinaria1;Iterativa;224.3
10000000;uniforme;BusquedaBinaria2;Recursiva;357.48
10000000;uniforme;BusquedaBinaria2;Iterativa;238.5
10000000;uniforme;BusquedaInterpolacion;Recursiva;305.75
10000000;uniforme;BusquedaInterpolacion;Iterativa;240.91
10000000;exponencial;BusquedaBinaria1;Recursiva;47
10000000;exponencial;BusquedaBinaria1;Iterativa;49
10000000;exponencial;BusquedaBinaria2;Recursiva;365
10000000;exponencial;BusquedaBinaria2;Iterativa;217
10000000;exponencial;BusquedaInterpolacion;Recursiva;23
10000000;exponencial;BusquedaInterpolacion;Iterativa;19
10000000;normal;BusquedaBinaria1;Recursiva;77
10000000;normal;BusquedaBinaria1;Iterativa;79
10000000;normal;BusquedaBinaria2;Recursiva;365
10000000;normal;BusquedaBinaria2;Iterativa;220
10000000;normal;BusquedaInterpolacion;Recursiva;23
10000000;normal;BusquedaInterpolacion;Iterativa;19
